Exporter,Importer,Value
Canada,Germany,30310.0
Australia,Russian Federation,30301.0
France,Mauritius,30277.0
Serbia,North Macedonia,30246.0
Belgium,Spain,30244.0
Pakistan,Zimbabwe,30142.0
Spain,Benin,30141.0
Poland,Austria,30130.0
Netherlands,Bulgaria,30124.0
"China, mainland",Pakistan,30069.0
Finland,Netherlands,30061.0
Myanmar,Côte d'Ivoire,30054.0
Serbia,Montenegro,30032.0
Turkey,Italy,29949.0
Denmark,Czechia,29931.0
United Kingdom,Benin,29494.0
United States of America,Libya,29486.0
Spain,Romania,29466.0
Germany,Israel,29437.0
Serbia,Hungary,29360.0
Saudi Arabia,Oman,29285.0
Turkey,Israel,29112.0
Paraguay,Morocco,29111.0
Pakistan,Niger,29082.0
Ireland,Denmark,29062.0
New Zealand,Russian Federation,29055.0
Lithuania,Belarus,29052.0
Nicaragua,Venezuela (Bolivarian Republic of),28986.0
Ethiopia,Saudi Arabia,28976.0
Russian Federation,Iraq,28956.0
Bulgaria,Cyprus,28799.0
United States of America,Afghanistan,28700.0
Spain,Serbia,28668.0
Serbia,Turkey,28564.0
Republic of Korea,Iran (Islamic Republic of),28534.0
Portugal,France,28505.0
India,Cameroon,28435.0
Belgium,Denmark,28406.0
Denmark,Ireland,28401.0
Thailand,Papua New Guinea,28386.0
Republic of Moldova,Turkey,28364.0
Austria,France,28358.0
United Kingdom,United States of America,28150.0
Serbia,Ukraine,28063.0
Colombia,Venezuela (Bolivarian Republic of),28022.0
Japan,"China, Hong Kong SAR",27850.0
Viet Nam,Algeria,27833.0
Guyana,Jamaica,27819.0
Denmark,Australia,27733.0
Bulgaria,Portugal,27664.0
Argentina,"China, Hong Kong SAR",27660.0
Germany,Nigeria,27285.0
Brazil,Israel,27215.0
Lithuania,Estonia,27212.0
Brazil,Thailand,27120.0
Finland,United States of America,27118.0
India,Israel,27112.0
Oman,United Arab Emirates,27011.0
Thailand,Mauritania,26951.0
United States of America,Saint Vincent and the Grenadines,26943.0
Estonia,Saudi Arabia,26895.0
Bulgaria,Morocco,26888.0
India,Niger,26858.0
Chile,Russian Federation,26727.0
Singapore,Benin,26666.0
Pakistan,Benin,26639.0
Poland,Egypt,26634.0
Romania,Japan,26627.0
Thailand,Kenya,26599.0
Republic of Moldova,Belarus,26577.0
Netherlands,Malaysia,26571.0
France,Cyprus,26372.0
United States of America,Suriname,26372.0
"China, mainland",Viet Nam,26360.0
Slovenia,Austria,26284.0
Czechia,Russian Federation,26245.0
United States of America,French Polynesia,26241.0
Russian Federation,Malawi,26203.0
Austria,Slovakia,26179.0
Germany,Turkey,26021.0
Poland,Bosnia and Herzegovina,26004.0
France,"China, Hong Kong SAR",26001.0
Latvia,Germany,25917.0
Brazil,Portugal,25767.0
Pakistan,Italy,25724.0
India,Syrian Arab Republic,25723.0
Bosnia and Herzegovina,Turkey,25563.0
Myanmar,Russian Federation,25557.0
Sweden,France,25453.0
Thailand,Brazil,25434.0
Serbia,Albania,25424.0
Denmark,Belgium,25395.0
Peru,Ecuador,25307.0
Latvia,Netherlands,25273.0
"China, mainland",Mongolia,25254.0
Hungary,Bulgaria,25232.0
Italy,Slovenia,25205.0
Turkey,Libya,25173.0
Brazil,Congo,25150.0
Republic of Korea,Viet Nam,25102.0
Romania,United States of America,24859.0
Romania,Cyprus,24844.0
Russian Federation,Syrian Arab Republic,24837.0
Russian Federation,Mongolia,24809.0
Thailand,Cambodia,24790.0
"China, mainland",Japan,24789.0
France,Israel,24772.0
United States of America,Ireland,24745.0
Canada,Kuwait,24677.0
United States of America,Barbados,24619.0
Poland,Belarus,24617.0
India,Germany,24611.0
Germany,United Arab Emirates,24578.0
United Kingdom,Israel,24531.0
Greece,Bulgaria,24524.0
Greece,Turkey,24411.0
Hungary,Greece,24342.0
Belgium,Ghana,24304.0
Lithuania,Cuba,24188.0
United Kingdom,Turkey,24134.0
Suriname,Jamaica,24096.0
Lithuania,Germany,24064.0
Italy,Japan,24061.0
United States of America,Germany,24030.0
Lithuania,France,23971.0
Australia,Mozambique,23917.0
Pakistan,Indonesia,23909.0
Hungary,Switzerland,23841.0
Romania,Viet Nam,23768.0
Russian Federation,Japan,23710.0
Netherlands,Finland,23615.0
Belgium,Greece,23575.0
Estonia,Germany,23533.0
Turkey,Azerbaijan,23336.0
Italy,Czechia,23299.0
Italy,Poland,23290.0
Estonia,Kenya,23195.0
Cambodia,Netherlands,23183.0
Russian Federation,Democratic Republic of the Congo,23178.0
Hungary,Czechia,23171.0
India,Georgia,23116.0
Switzerland,Malawi,23102.0
Russian Federation,Turkmenistan,23073.0
United States of America,Armenia,23066.0
Pakistan,Comoros,23036.0
France,Burkina Faso,23015.0
Serbia,Austria,22984.0
Pakistan,Australia,22914.0
Nicaragua,El Salvador,22773.0
Turkey,Georgia,22718.0
France,Benin,22683.0
Viet Nam,Republic of Korea,22615.0
Poland,South Africa,22536.0
Poland,Greece,22397.0
Netherlands,Ghana,22386.0
New Zealand,Fiji,22376.0
Uruguay,Sierra Leone,22343.0
Ukraine,Georgia,22327.0
Belgium,Iraq,22274.0
Myanmar,Belgium,22272.0
United States of America,Ukraine,22145.0
Thailand,Germany,22081.0
Denmark,Russian Federation,21930.0
Poland,Portugal,21897.0
Latvia,Estonia,21795.0
Serbia,Croatia,21738.0
Pakistan,Azerbaijan,21666.0
Hungary,Tunisia,21563.0
Ukraine,Cyprus,21500.0
Ukraine,United Arab Emirates,21485.0
India,Egypt,21332.0
Saudi Arabia,Yemen,21264.0
New Zealand,Papua New Guinea,21246.0
United Kingdom,Philippines,21243.0
Thailand,Algeria,21241.0
Latvia,South Africa,21150.0
United States of America,Benin,21135.0
Cambodia,Poland,21115.0
Belgium,Democratic Republic of the Congo,21067.0
Uganda,Kenya,20959.0
Brazil,North Macedonia,20957.0
Argentina,Ecuador,20949.0
Netherlands,Philippines,20853.0
Slovenia,Croatia,20755.0
United States of America,Azerbaijan,20753.0
Belgium,South Africa,20718.0
Brazil,Ecuador,20686.0
Belgium,Sweden,20678.0
India,Maldives,20655.0
Thailand,Mexico,20650.0
Italy,Hungary,20614.0
Chile,Republic of Korea,20600.0
United States of America,Bangladesh,20584.0
United States of America,Oman,20577.0
France,Ghana,20573.0
Austria,Spain,20531.0
Austria,Sweden,20502.0
Romania,Algeria,20490.0
Poland,Uzbekistan,20396.0
Pakistan,Spain,20394.0
Bulgaria,Ireland,20385.0
Argentina,Mauritius,20344.0
Russian Federation,Belarus,20319.0
France,Thailand,20315.0
Serbia,Tunisia,20311.0
United States of America,Lebanon,20307.0
Ukraine,France,20193.0
Chile,Spain,20184.0
Belgium,Russian Federation,20170.0
"China, mainland",Russian Federation,20139.0
Chile,"China, Hong Kong SAR",20132.0
Turkey,Russian Federation,20086.0
Georgia,Armenia,20056.0
Denmark,Hungary,20040.0
Sweden,Morocco,20026.0
Belgium,Libya,19888.0
Egypt,Belgium,19819.0
Chile,Canada,19803.0
Argentina,Paraguay,19796.0
Netherlands,Hungary,19786.0
United States of America,France,19770.0
Chile,Germany,19754.0
Germany,Bahrain,19718.0
Pakistan,Rwanda,19687.0
Austria,North Macedonia,19668.0
Germany,Luxembourg,19649.0
New Zealand,Mexico,19631.0
New Zealand,Greece,19622.0
Italy,Benin,19570.0
Guyana,Portugal,19558.0
Côte d'Ivoire,Burkina Faso,19548.0
Romania,Austria,19496.0
Netherlands,Slovenia,19435.0
Serbia,Germany,19427.0
Ukraine,Uzbekistan,19238.0
United States of America,Turkmenistan,19236.0
Zambia,United Republic of Tanzania,19203.0
Antigua and Barbuda,Senegal,19137.0
Uganda,South Sudan,19119.0
New Zealand,Italy,19109.0
Pakistan,Sierra Leone,19086.0
Germany,United States of America,19083.0
Portugal,Turkey,19069.0
United Arab Emirates,United States of America,19061.0
Ukraine,Poland,19035.0
Canada,Bolivia (Plurinational State of),19035.0
Canada,Malawi,19023.0
Finland,Algeria,19017.0
Poland,Kenya,19000.0
Luxembourg,Belgium,18995.0
Greece,Cyprus,18972.0
United States of America,Kuwait,18939.0
Finland,Spain,18930.0
New Zealand,Sweden,18921.0
Russian Federation,Zimbabwe,18890.0
Greece,Spain,18717.0
Lithuania,Italy,18716.0
France,South Africa,18668.0
Italy,"China, Hong Kong SAR",18648.0
Netherlands,"China, mainland",18600.0
India,Togo,18594.0
France,Oman,18572.0
Kazakhstan,Sweden,18564.0
"China, mainland",Bahrain,18560.0
Uruguay,Viet Nam,18543.0
United States of America,Australia,18526.0
Argentina,Dominican Republic,18495.0
Argentina,Angola,18460.0
Belgium,Romania,18389.0
Netherlands,Lithuania,18368.0
Russian Federation,Qatar,18318.0
Togo,Burkina Faso,18286.0
Finland,Russian Federation,18258.0
Uganda,Democratic Republic of the Congo,18252.0
Republic of Moldova,Greece,18217.0
Sweden,Poland,18189.0
Canada,Israel,18135.0
Lithuania,Russian Federation,18130.0
France,Norway,18086.0
Ukraine,Mozambique,18059.0
Argentina,Nigeria,18049.0
India,Sierra Leone,18024.0
United Arab Emirates,Guinea,18023.0
Canada,Dominican Republic,17979.0
Mexico,Ecuador,17960.0
"China, Hong Kong SAR",Philippines,17920.0
Mexico,Guatemala,17893.0
Germany,Ukraine,17877.0
Brazil,Germany,17857.0
Germany,Bosnia and Herzegovina,17840.0
Denmark,Iran (Islamic Republic of),17836.0
Thailand,Spain,17806.0
Ireland,Republic of Korea,17792.0
Kenya,United Republic of Tanzania,17753.0
Brazil,Belgium,17744.0
New Zealand,United Arab Emirates,17665.0
Russian Federation,Denmark,17664.0
Malaysia,Indonesia,17663.0
Pakistan,Netherlands,17633.0
Bulgaria,Germany,17550.0
Austria,Romania,17511.0
Thailand,Timor-Leste,17490.0
Paraguay,Colombia,17451.0
Israel,Jordan,17446.0
Germany,Namibia,17389.0
Lithuania,United Kingdom,17388.0
Thailand,Italy,17368.0
Netherlands,United Arab Emirates,17363.0
Thailand,Switzerland,17361.0
Poland,Japan,17353.0
Australia,France,17329.0
Viet Nam,"China, Taiwan Province of",17326.0
Lithuania,Denmark,17256.0
United Arab Emirates,Kuwait,17250.0
Spain,South Africa,17179.0
Poland,Zimbabwe,17118.0
Germany,Finland,17113.0
Thailand,Sierra Leone,17057.0
New Zealand,Singapore,17028.0
Republic of Moldova,New Zealand,17024.0
Pakistan,Ukraine,16987.0
Costa Rica,Guatemala,16926.0
Brazil,United Kingdom,16908.0
Latvia,Libya,16879.0
Republic of Moldova,Romania,16875.0
France,Togo,16870.0
Kazakhstan,Georgia,16849.0
Brazil,United States of America,16808.0
Belgium,Angola,16805.0
United Kingdom,Hungary,16731.0
Kazakhstan,Germany,16711.0
Pakistan,Somalia,16685.0
Viet Nam,Benin,16672.0
Russian Federation,Nicaragua,16655.0
Poland,Congo,16605.0
"China, mainland",Singapore,16599.0
Germany,Malaysia,16583.0
Brazil,Armenia,16568.0
Canada,Iran (Islamic Republic of),16536.0
Myanmar,Sri Lanka,16533.0
Ukraine,Mauritania,16529.0
Belgium,Republic of Korea,16514.0
Bosnia and Herzegovina,Serbia,16510.0
United States of America,Aruba,16465.0
India,Switzerland,16462.0
India,Afghanistan,16460.0
Costa Rica,Nicaragua,16438.0
Uganda,Rwanda,16398.0
Argentina,Japan,16376.0
Denmark,Finland,16324.0
Ukraine,Sudan,16262.0
Pakistan,Senegal,16256.0
Germany,Lithuania,16214.0
Russian Federation,Ghana,16210.0
United States of America,Mauritania,16174.0
Viet Nam,South Africa,16141.0
India,Thailand,16113.0
Germany,Uganda,16083.0
Denmark,Canada,15976.0
France,Slovakia,15920.0
Bosnia and Herzegovina,Montenegro,15902.0
Republic of Moldova,Ukraine,15859.0
Belgium,Bulgaria,15849.0
South Africa,Italy,15829.0
Viet Nam,United Arab Emirates,15805.0
United States of America,United Republic of Tanzania,15783.0
Argentina,Spain,15779.0
Latvia,Haiti,15704.0
Italy,Lebanon,15687.0
Hungary,United Kingdom,15684.0
Ukraine,Malaysia,15674.0
Republic of Korea,"China, mainland",15658.0
Republic of Moldova,United Kingdom,15652.0
Italy,United States of America,15550.0
Romania,Slovakia,15521.0
France,Iran (Islamic Republic of),15483.0
Netherlands,Cyprus,15452.0
Austria,Bosnia and Herzegovina,15410.0
Russian Federation,Mauritania,15348.0
France,United States of America,15317.0
Malaysia,"China, Hong Kong SAR",15317.0
Turkey,Democratic Republic of the Congo,15305.0
Belgium,Slovakia,15297.0
Estonia,Spain,15255.0
Netherlands,Democratic Republic of the Congo,15245.0
Latvia,Turkey,15234.0
Australia,Lebanon,15178.0
Spain,Cyprus,15175.0
Germany,Canada,15112.0
United Kingdom,Switzerland,15110.0
United States of America,Cayman Islands,15096.0
Brazil,Gabon,15092.0
Finland,Estonia,15063.0
Kazakhstan,Jordan,15048.0
Czechia,Algeria,15032.0
Brazil,Azerbaijan,15019.0
Brazil,Georgia,15009.0
Chile,Peru,14994.0
Uruguay,Jordan,14989.0
Australia,Uganda,14989.0
France,Sweden,14966.0
Czechia,Morocco,14958.0
Netherlands,Canada,14940.0
Paraguay,Venezuela (Bolivarian Republic of),14898.0
Bulgaria,Lebanon,14876.0
Republic of Moldova,Indonesia,14841.0
Australia,Trinidad and Tobago,14829.0
Thailand,"China, Macao SAR",14825.0
Romania,Morocco,14814.0
United States of America,Tunisia,14787.0
Australia,New Caledonia,14732.0
Myanmar,"China, mainland",14682.0
Hungary,Serbia,14678.0
Czechia,Netherlands,14660.0
Austria,Denmark,14645.0
Guyana,Trinidad and Tobago,14638.0
Sweden,Finland,14607.0
Germany,Estonia,14604.0
France,Democratic Republic of the Congo,14561.0
India,Azerbaijan,14560.0
Kazakhstan,Saudi Arabia,14508.0
Belarus,Kazakhstan,14498.0
Niger,India,14481.0
Kazakhstan,Sudan,14461.0
Italy,Romania,14458.0
United Arab Emirates,Sri Lanka,14452.0
India,Ukraine,14423.0
Thailand,Myanmar,14419.0
Uruguay,United Kingdom,14413.0
Poland,Estonia,14347.0
Italy,Denmark,14344.0
Russian Federation,Portugal,14302.0
Mexico,"China, Hong Kong SAR",14291.0
France,Japan,14258.0
Rwanda,Democratic Republic of the Congo,14208.0
Romania,Bangladesh,14202.0
Bulgaria,Egypt,14202.0
Romania,Iran (Islamic Republic of),14194.0
Romania,Ireland,14160.0
Spain,Sweden,14119.0
Brazil,Maldives,14112.0
India,Mozambique,14104.0
Spain,Libya,14026.0
United States of America,Cameroon,13941.0
United Republic of Tanzania,Congo,13923.0
Russian Federation,Philippines,13918.0
United States of America,Bermuda,13917.0
France,Libya,13906.0
Russian Federation,Burundi,13884.0
Italy,Croatia,13878.0
Belgium,Austria,13862.0
United States of America,Saint Lucia,13805.0
Germany,Mozambique,13777.0
Latvia,Poland,13751.0
Romania,Indonesia,13742.0
Australia,Sri Lanka,13699.0
Mauritius,Zimbabwe,13640.0
"China, mainland",Georgia,13620.0
Brazil,Serbia,13608.0
Lithuania,Morocco,13562.0
Finland,Norway,13497.0
Pakistan,Canada,13441.0
South Africa,Portugal,13440.0
Denmark,Lithuania,13402.0
Indonesia,Philippines,13337.0
Guyana,Nicaragua,13332.0
Kazakhstan,Lebanon,13312.0
Hungary,Republic of Korea,13224.0
Hungary,Saudi Arabia,13220.0
Italy,Bulgaria,13178.0
Latvia,Morocco,13162.0
Brazil,Nigeria,13110.0
Spain,United Arab Emirates,13088.0
United States of America,Belgium,13086.0
Viet Nam,Russian Federation,13072.0
Slovenia,Serbia,13000.0
Austria,United Kingdom,12971.0
Russian Federation,Democratic People's Republic of Korea,12954.0
Austria,Poland,12890.0
Brazil,Mozambique,12883.0
Italy,Albania,12868.0
Estonia,Finland,12868.0
India,Lebanon,12854.0
Argentina,Poland,12843.0
Ukraine,Denmark,12757.0
Pakistan,Germany,12754.0
Romania,Sri Lanka,12744.0
United Kingdom,Tunisia,12730.0
Brazil,Afghanistan,12708.0
Pakistan,Burkina Faso,12675.0
Romania,Serbia,12668.0
Australia,Cambodia,12640.0
Thailand,New Zealand,12612.0
Canada,Viet Nam,12592.0
Thailand,Sweden,12535.0
Ireland,Spain,12534.0
India,Ghana,12503.0
Argentina,South Africa,12477.0
Italy,Sweden,12472.0
Ukraine,United Republic of Tanzania,12463.0
Germany,Egypt,12455.0
Pakistan,Ethiopia,12434.0
India,Burkina Faso,12421.0
Hungary,Belgium,12406.0
Belgium,Ireland,12360.0
Denmark,Slovakia,12352.0
Denmark,Greenland,12348.0
Belgium,"China, mainland",12348.0
Germany,Latvia,12296.0
Thailand,"China, Taiwan Province of",12288.0
Australia,Solomon Islands,12286.0
Poland,Ukraine,12257.0
United States of America,Albania,12251.0
Ukraine,Greece,12249.0
Poland,Uganda,12232.0
Slovakia,Netherlands,12226.0
Canada,Senegal,12226.0
New Zealand,French Polynesia,12205.0
Pakistan,Turkey,12200.0
Denmark,Latvia,12184.0
United States of America,Latvia,12164.0
Lithuania,United Republic of Tanzania,12148.0
Italy,Slovakia,12110.0
Ukraine,Kyrgyzstan,12102.0
Denmark,Greece,12100.0
Thailand,Cabo Verde,12088.0
Russian Federation,Norway,12057.0
Germany,Serbia,12011.0
Czechia,Saudi Arabia,12005.0
Canada,Canada,12004.0
France,Gambia,11994.0
New Zealand,Spain,11972.0
Czechia,Romania,11907.0
United Kingdom,Norway,11872.0
Ecuador,Cuba,11872.0
Ukraine,Cuba,11838.0
Brazil,Bahamas,11831.0
Brazil,France,11830.0
Australia,Malawi,11788.0
Austria,Croatia,11744.0
Kyrgyzstan,Kazakhstan,11741.0
Argentina,Mexico,11721.0
India,Gambia,11717.0
Pakistan,Iraq,11704.0
United States of America,Côte d'Ivoire,11702.0
Austria,Russian Federation,11693.0
Brazil,Italy,11643.0
Myanmar,France,11611.0
Romania,Croatia,11601.0
Brazil,"China, Macao SAR",11591.0
Russian Federation,Ethiopia,11586.0
Pakistan,Gambia,11570.0
South Africa,Democratic Republic of the Congo,11561.0
Germany,Zimbabwe,11531.0
Australia,India,11475.0
Italy,Libya,11430.0
New Zealand,Indonesia,11427.0
Canada,Singapore,11413.0
Russian Federation,United Kingdom,11340.0
Uruguay,Germany,11337.0
Bolivia (Plurinational State of),Peru,11333.0
Italy,Malta,11320.0
United States of America,Tonga,11301.0
Poland,North Macedonia,11300.0
Pakistan,Russian Federation,11298.0
Canada,Rwanda,11272.0
Iran (Islamic Republic of),Turkey,11240.0
Kazakhstan,Afghanistan,11236.0
Pakistan,Djibouti,11173.0
Lithuania,Libya,11148.0
United States of America,Grenada,11130.0
Ireland,Switzerland,11128.0
Portugal,Russian Federation,11123.0
United States of America,Antigua and Barbuda,11099.0
Republic of Moldova,Russian Federation,11055.0
Bulgaria,Philippines,11048.0
United Republic of Tanzania,Uganda,11047.0
Burkina Faso,Niger,11035.0
Thailand,Norway,11030.0
Germany,Montenegro,10988.0
Paraguay,Malaysia,10977.0
Uruguay,Belgium,10956.0
Turkey,Congo,10906.0
Poland,Sudan,10891.0
Denmark,Malaysia,10878.0
Brazil,Costa Rica,10849.0
Lithuania,South Africa,10817.0
Uruguay,Costa Rica,10775.0
Malaysia,Brunei Darussalam,10745.0
Lithuania,Bahrain,10727.0
Italy,Portugal,10723.0
Iran (Islamic Republic of),Afghanistan,10719.0
Ukraine,Mexico,10701.0
Australia,Netherlands,10683.0
Chile,Pakistan,10656.0
Zambia,Malawi,10602.0
Latvia,Italy,10591.0
Austria,Greece,10570.0
Brazil,Democratic Republic of the Congo,10556.0
Turkey,France,10549.0
France,Brazil,10518.0
Brazil,Mauritania,10516.0
United States of America,Serbia,10515.0
Ukraine,Armenia,10476.0
New Zealand,Algeria,10457.0
Canada,Jamaica,10430.0
South Africa,Angola,10418.0
Estonia,Norway,10382.0
France,New Zealand,10371.0
Hungary,Turkey,10368.0
"China, mainland",United States of America,10348.0
Canada,Togo,10319.0
Austria,Montenegro,10278.0
Pakistan,Guinea-Bissau,10276.0
Zambia,Kenya,10267.0
United States of America,Senegal,10263.0
Argentina,Singapore,10228.0
Turkey,Tajikistan,10205.0
Belgium,Slovenia,10204.0
Ukraine,Kuwait,10197.0
Germany,North Macedonia,10193.0
Bulgaria,Algeria,10191.0
Spain,Morocco,10177.0
Hungary,South Africa,10171.0
Côte d'Ivoire,Ghana,10171.0
Singapore,Malaysia,10143.0
Greece,Romania,10068.0
Belgium,"China, Hong Kong SAR",10062.0
United States of America,Mongolia,10045.0
Denmark,"China, Hong Kong SAR",10014.0
Finland,Belgium,10000.0
Singapore,Philippines,9954.0
Canada,France,9953.0
Australia,Germany,9928.0
North Macedonia,Italy,9906.0
Kazakhstan,Norway,9904.0
Thailand,Lebanon,9824.0
Uruguay,Paraguay,9822.0
Denmark,Estonia,9788.0
Hungary,Cyprus,9783.0
"China, mainland",Iraq,9778.0
United Arab Emirates,Zimbabwe,9774.0
United States of America,Belize,9758.0
United Kingdom,Thailand,9753.0
New Zealand,Oman,9751.0
Thailand,Pakistan,9733.0
Denmark,Ethiopia,9722.0
Romania,Republic of Moldova,9685.0
